in,out,time
Sta64,Sta89,2
Sta89,Sta64,2
Sta29,Sta126,2
Sta126,Sta29,2
Sta67,Sta30,2
Sta30,Sta67,2
Sta80,Sta89,3
Sta89,Sta80,3
Sta31,Sta17,3
Sta17,Sta31,3
Sta135,Sta167,3
Sta167,Sta135,3
Sta40,Sta131,3
Sta131,Sta40,3
Sta108,Sta47,3
Sta47,Sta108,3
Sta117,Sta44,3
Sta44,Sta117,3
Sta144,Sta67,3
Sta67,Sta144,3
Sta107,Sta83,3
Sta83,Sta107,3
Sta39,Sta100,3
Sta100,Sta39,3
Sta18,Sta79,3
Sta79,Sta18,3
Sta87,Sta88,3
Sta88,Sta87,3
Sta40,Sta115,3
Sta115,Sta40,3
Sta130,Sta120,3
Sta120,Sta130,3
Sta108,Sta83,3
Sta83,Sta108,3
Sta129,Sta1,3
Sta1,Sta129,3
Sta29,Sta98,3
Sta98,Sta29,3
Sta135,Sta100,3
Sta100,Sta135,3
Sta16,Sta37,3
Sta37,Sta16,3
Sta68,Sta52,3
Sta52,Sta68,3
Sta56,Sta23,3
Sta23,Sta56,3
Sta97,Sta80,3
Sta80,Sta97,3
Sta22,Sta138,3
Sta138,Sta22,3
Sta64,Sta150,3
Sta150,Sta64,3
Sta90,Sta26,3
Sta26,Sta90,3
Sta81,Sta127,3
Sta127,Sta81,3
Sta115,Sta126,3
Sta126,Sta115,3
Sta123,Sta47,3
Sta47,Sta123,3
Sta70,Sta55,3
Sta55,Sta70,3
Sta114,Sta168,3
Sta168,Sta114,3
Sta162,Sta115,3
Sta115,Sta162,3
Sta28,Sta124,3
Sta124,Sta28,3
Sta78,Sta53,3
Sta53,Sta78,3
Sta86,Sta46,3
Sta46,Sta86,3
Sta107,Sta154,3
Sta154,Sta107,3
Sta113,Sta141,3
Sta141,Sta113,3
Sta129,Sta9,3
Sta9,Sta129,3
Sta27,Sta81,3
Sta81,Sta27,3
Sta23,Sta20,3
Sta20,Sta23,3
Sta163,Sta9,3
Sta9,Sta163,3
Sta131,Sta39,3
Sta39,Sta131,3
Sta89,Sta137,3
Sta137,Sta89,3
Sta60,Sta148,3
Sta148,Sta60,3
Sta79,Sta98,3
Sta98,Sta79,3
Sta1,Sta5,3
Sta5,Sta1,3
Sta22,Sta133,3
Sta133,Sta22,3
Sta48,Sta27,3
Sta27,Sta48,3
Sta65,Sta49,3
Sta49,Sta65,3
Sta162,Sta114,3
Sta114,Sta162,3
Sta158,Sta44,3
Sta44,Sta158,3
Sta159,Sta47,3
Sta47,Sta159,3
Sta143,Sta155,3
Sta155,Sta143,3
Sta63,Sta3,3
Sta3,Sta63,3
Sta15,Sta114,3
Sta114,Sta15,3
Sta76,Sta52,3
Sta52,Sta76,3
Sta121,Sta125,3
Sta125,Sta121,3
Sta146,Sta130,3
Sta130,Sta146,3
Sta148,Sta73,3
Sta73,Sta148,3
Sta123,Sta127,3
Sta127,Sta123,3
Sta106,Sta34,3
Sta34,Sta106,3
Sta42,Sta35,3
Sta35,Sta42,3
Sta50,Sta61,3
Sta61,Sta50,3
Sta63,Sta129,3
Sta129,Sta63,3
Sta166,Sta99,3
Sta99,Sta166,3
Sta46,Sta63,3
Sta63,Sta46,3
Sta53,Sta163,3
Sta163,Sta53,3
Sta106,Sta110,4
Sta110,Sta106,4
Sta97,Sta110,4
Sta110,Sta97,4
Sta158,Sta142,4
Sta142,Sta158,4
Sta134,Sta85,4
Sta85,Sta134,4
Sta20,Sta55,4
Sta55,Sta20,4
Sta167,Sta113,4
Sta113,Sta167,4
Sta16,Sta69,4
Sta69,Sta16,4
Sta41,Sta32,4
Sta32,Sta41,4
Sta87,Sta109,4
Sta109,Sta87,4
Sta119,Sta50,4
Sta50,Sta119,4
Sta89,Sta136,4
Sta136,Sta89,4
Sta5,Sta159,4
Sta159,Sta5,4
Sta47,Sta18,4
Sta18,Sta47,4
Sta118,Sta56,4
Sta56,Sta118,4
Sta60,Sta127,4
Sta127,Sta60,4
Sta13,Sta70,4
Sta70,Sta13,4
Sta61,Sta156,4
Sta156,Sta61,4
Sta132,Sta37,4
Sta37,Sta132,4
Sta14,Sta73,4
Sta73,Sta14,4
Sta15,Sta95,4
Sta95,Sta15,4
Sta87,Sta94,4
Sta94,Sta87,4
Sta118,Sta115,4
Sta115,Sta118,4
Sta122,Sta77,4
Sta77,Sta122,4
Sta99,Sta124,4
Sta124,Sta99,4
Sta57,Sta76,4
Sta76,Sta57,4
Sta12,Sta161,4
Sta161,Sta12,4
Sta74,Sta128,4
Sta128,Sta74,4
Sta32,Sta91,4
Sta91,Sta32,4
Sta10,Sta96,4
Sta96,Sta10,4
Sta90,Sta84,4
Sta84,Sta90,4
Sta48,Sta151,4
Sta151,Sta48,4
Sta94,Sta160,4
Sta160,Sta94,4
Sta153,Sta112,4
Sta112,Sta153,4
Sta135,Sta134,4
Sta134,Sta135,4
Sta121,Sta11,4
Sta11,Sta121,4
Sta149,Sta49,4
Sta49,Sta149,4
Sta100,Sta131,4
Sta131,Sta100,4
Sta142,Sta141,4
Sta141,Sta142,4
Sta72,Sta93,4
Sta93,Sta72,4
Sta111,Sta140,4
Sta140,Sta111,4
Sta154,Sta150,4
Sta150,Sta154,4
Sta107,Sta108,4
Sta108,Sta107,4
Sta74,Sta149,4
Sta149,Sta74,4
Sta137,Sta101,4
Sta101,Sta137,4
Sta12,Sta66,4
Sta66,Sta12,4
Sta146,Sta25,4
Sta25,Sta146,4
Sta100,Sta167,4
Sta167,Sta100,4
Sta161,Sta21,4
Sta21,Sta161,4
Sta138,Sta41,4
Sta41,Sta138,4
Sta112,Sta33,4
Sta33,Sta112,4
Sta117,Sta147,4
Sta147,Sta117,4
Sta101,Sta89,4
Sta89,Sta101,4
Sta30,Sta41,4
Sta41,Sta30,4
Sta53,Sta9,4
Sta9,Sta53,4
Sta109,Sta35,4
Sta35,Sta109,4
Sta155,Sta51,4
Sta51,Sta155,4
Sta156,Sta143,4
Sta143,Sta156,4
Sta21,Sta133,4
Sta133,Sta21,4
Sta15,Sta86,4
Sta86,Sta15,4
Sta160,Sta7,4
Sta7,Sta160,4
Sta5,Sta98,4
Sta98,Sta5,4
Sta96,Sta132,4
Sta132,Sta96,4
Sta111,Sta82,4
Sta82,Sta111,4
Sta54,Sta56,4
Sta56,Sta54,4
Sta89,Sta97,5
Sta97,Sta89,5
Sta56,Sta20,5
Sta20,Sta56,5
Sta5,Sta144,5
Sta144,Sta5,5
Sta59,Sta19,5
Sta19,Sta59,5
Sta159,Sta108,5
Sta108,Sta159,5
Sta147,Sta42,5
Sta42,Sta147,5
Sta2,Sta4,5
Sta4,Sta2,5
Sta153,Sta125,5
Sta125,Sta153,5
Sta134,Sta84,5
Sta84,Sta134,5
Sta122,Sta36,5
Sta36,Sta122,5
Sta39,Sta40,5
Sta40,Sta39,5
Sta164,Sta152,5
Sta152,Sta164,5
Sta103,Sta4,5
Sta4,Sta103,5
Sta114,Sta157,5
Sta157,Sta114,5
Sta59,Sta134,5
Sta134,Sta59,5
Sta31,Sta101,5
Sta101,Sta31,5
Sta123,Sta81,5
Sta81,Sta123,5
Sta154,Sta64,5
Sta64,Sta154,5
Sta47,Sta79,5
Sta79,Sta47,5
Sta75,Sta45,5
Sta45,Sta75,5
Sta17,Sta23,5
Sta23,Sta17,5
Sta89,Sta150,5
Sta150,Sta89,5
Sta84,Sta26,5
Sta26,Sta84,5
Sta91,Sta127,5
Sta127,Sta91,5
Sta82,Sta164,5
Sta164,Sta82,5
Sta80,Sta64,5
Sta64,Sta80,5
Sta87,Sta160,5
Sta160,Sta87,5
Sta75,Sta8,5
Sta8,Sta75,5
Sta69,Sta23,5
Sta23,Sta69,5
Sta102,Sta75,5
Sta75,Sta102,5
Sta6,Sta8,5
Sta8,Sta6,5
Sta154,Sta83,5
Sta83,Sta154,5
Sta27,Sta127,5
Sta127,Sta27,5
Sta146,Sta120,5
Sta120,Sta146,5
Sta168,Sta134,5
Sta134,Sta168,5
Sta109,Sta33,5
Sta33,Sta109,5
Sta80,Sta110,5
Sta110,Sta80,5
Sta103,Sta145,5
Sta145,Sta103,5
Sta21,Sta12,5
Sta12,Sta21,5
Sta7,Sta6,5
Sta6,Sta7,5
Sta144,Sta30,5
Sta30,Sta144,5
Sta83,Sta47,5
Sta47,Sta83,5
Sta86,Sta63,5
Sta63,Sta86,5
Sta79,Sta78,5
Sta78,Sta79,5
Sta15,Sta72,5
Sta72,Sta15,5
Sta78,Sta163,5
Sta163,Sta78,5
Sta135,Sta131,5
Sta131,Sta135,5
Sta126,Sta98,5
Sta98,Sta126,5
Sta118,Sta23,5
Sta23,Sta118,5
Sta71,Sta139,5
Sta139,Sta71,5
Sta68,Sta151,5
Sta151,Sta68,5
Sta162,Sta118,5
Sta118,Sta162,5
Sta150,Sta107,5
Sta107,Sta150,5
Sta98,Sta78,5
Sta78,Sta98,5
Sta68,Sta76,5
Sta76,Sta68,5
Sta2,Sta85,5
Sta85,Sta2,5
Sta13,Sta55,5
Sta55,Sta13,5
Sta26,Sta17,5
Sta17,Sta26,5
Sta138,Sta30,5
Sta30,Sta138,5
Sta39,Sta135,5
Sta135,Sta39,5
Sta115,Sta29,5
Sta29,Sta115,5
Sta159,Sta1,5
Sta1,Sta159,5
Sta5,Sta129,5
Sta129,Sta5,5
Sta48,Sta81,5
Sta81,Sta48,5
Sta168,Sta135,5
Sta135,Sta168,5
Sta99,Sta28,6
Sta28,Sta99,6
Sta84,Sta135,6
Sta135,Sta84,6
Sta29,Sta5,6
Sta5,Sta29,6
Sta23,Sta26,6
Sta26,Sta23,6
Sta92,Sta41,6
Sta41,Sta92,6
Sta69,Sta37,6
Sta37,Sta69,6
Sta96,Sta43,6
Sta43,Sta96,6
Sta138,Sta133,6
Sta133,Sta138,6
Sta113,Sta142,6
Sta142,Sta113,6
Sta41,Sta67,6
Sta67,Sta41,6
Sta63,Sta1,6
Sta1,Sta63,6
Sta148,Sta127,6
Sta127,Sta148,6
Sta94,Sta88,6
Sta88,Sta94,6
Sta10,Sta132,6
Sta132,Sta10,6
Sta70,Sta20,6
Sta20,Sta70,6
Sta40,Sta126,6
Sta126,Sta40,6
Sta3,Sta46,6
Sta46,Sta3,6
Sta117,Sta42,6
Sta42,Sta117,6
Sta65,Sta149,6
Sta149,Sta65,6
Sta47,Sta127,6
Sta127,Sta47,6
Sta135,Sta113,6
Sta113,Sta135,6
Sta95,Sta135,6
