arrival,Stain,distin,departure,Staout,distout,time
Sta63,11号线,Dist1,Sta129,2号线,Dist1,3
Sta159,1号线,Dist1,Sta47,2号线,Dist1,3
Sta126,3号线,Dist1,Sta115,11号线,Dist5,3
Sta135,10号线,Dist5,Sta100,3号线,Dist5,3
Sta115,11号线,Dist5,Sta40,3号线,Dist5,3
Sta89,1号线,Dist3,Sta137,12号线,Dist3,3
Sta114,10号线,Dist5,Sta162,11号线,Dist5,3
Sta108,1号线,Dist1,Sta47,2号线,Dist1,3
Sta135,10号线,Dist5,Sta167,3号线,Dist5,3
Sta1,1号线,Dist1,Sta129,2号线,Dist1,3
Sta114,10号线,Dist5,Sta15,11号线,Dist8,3
Sta89,1号线,Dist3,Sta136,12号线,Dist3,4
Sta101,12号线,Dist8,Sta89,1号线,Dist3,4
Sta84,4号线,Dist5,Sta90,12号线,Dist5,4
Sta87,10号线,Dist8,Sta109,3号线,Dist5,4
Sta54,5号线,Dist5,Sta56,11号线,Dist5,4
Sta127,2号线,Dist2,Sta60,12号线,Dist2,4
Sta15,11号线,Dist8,Sta95,12号线,Dist5,4
Sta41,3号线,Dist6,Sta32,12号线,Dist6,4
Sta84,4号线,Dist5,Sta134,10号线,Dist5,5
Sta15,11号线,Dist8,Sta72,12号线,Dist6,5
Sta23,11号线,Dist5,Sta69,5号线,Dist5,5
Sta84,4号线,Dist5,Sta26,12号线,Dist5,5
Sta17,12号线,Dist8,Sta23,11号线,Dist5,5
Sta29,3号线,Dist8,Sta115,11号线,Dist5,5
Sta127,2号线,Dist2,Sta91,12号线,Dist6,5
Sta59,4号线,Dist8,Sta134,10号线,Dist5,5
Sta83,1号线,Dist2,Sta47,2号线,Dist1,5
Sta131,3号线,Dist5,Sta135,10号线,Dist5,5
Sta135,10号线,Dist5,Sta39,3号线,Dist5,5
Sta75,10号线,Dist5,Sta45,11号线,Dist5,5
Sta127,2号线,Dist2,Sta148,12号线,Dist2,6
Sta69,5号线,Dist5,Sta56,11号线,Dist5,6
Sta1,1号线,Dist1,Sta63,11号线,Dist1,6
Sta135,10号线,Dist5,Sta84,4号线,Dist5,6
Sta40,3号线,Dist5,Sta162,11号线,Dist5,6
Sta114,10号线,Dist5,Sta86,11号线,Dist8,6
Sta54,5号线,Dist5,Sta23,11号线,Dist5,6
Sta131,3号线,Dist5,Sta115,11号线,Dist5,6
Sta90,12号线,Dist5,Sta23,11号线,Dist5,6
Sta115,11号线,Dist5,Sta114,10号线,Dist5,6
Sta3,11号线,Dist6,Sta93,12号线,Dist6,6
Sta92,12号线,Dist6,Sta41,3号线,Dist6,6
Sta41,3号线,Dist6,Sta91,12号线,Dist6,6
Sta23,11号线,Dist5,Sta26,12号线,Dist5,6
Sta135,10号线,Dist5,Sta113,3号线,Dist5,6
Sta3,11号线,Dist6,Sta92,12号线,Dist6,6
Sta135,10号线,Dist5,Sta95,12号线,Dist5,6
Sta118,11号线,Dist5,Sta126,3号线,Dist1,7
Sta40,3号线,Dist5,Sta118,11号线,Dist5,7
Sta35,3号线,Dist5,Sta87,10号线,Dist8,7
Sta84,4号线,Dist5,Sta95,12号线,Dist5,7
Sta107,1号线,Dist2,Sta47,2号线,Dist1,7
Sta32,12号线,Dist6,Sta127,2号线,Dist2,7
Sta134,10号线,Dist5,Sta95,12号线,Dist5,7
Sta17,12号线,Dist8,Sta20,11号线,Dist5,7
Sta31,12号线,Dist8,Sta23,11号线,Dist5,7
Sta159,1号线,Dist1,Sta123,2号线,Dist2,7
Sta75,10号线,Dist5,Sta152,11号线,Dist1,7
Sta116,12号线,Dist6,Sta41,3号线,Dist6,7
Sta162,11号线,Dist5,Sta168,10号线,Dist5,8
Sta162,11号线,Dist5,Sta126,3号线,Dist1,8
Sta118,11号线,Dist5,Sta114,10号线,Dist5,8
Sta47,2号线,Dist1,Sta1,1号线,Dist1,8
Sta56,11号线,Dist5,Sta17,12号线,Dist8,8
Sta56,11号线,Dist5,Sta90,12号线,Dist5,8
Sta159,1号线,Dist1,Sta129,2号线,Dist1,8
Sta118,11号线,Dist5,Sta54,5号线,Dist5,8
Sta115,11号线,Dist5,Sta39,3号线,Dist5,8
Sta114,10号线,Dist5,Sta46,11号线,Dist8,8
Sta114,10号线,Dist5,Sta95,12号线,Dist5,8
Sta95,12号线,Dist5,Sta86,11号线,Dist8,8
Sta93,12号线,Dist6,Sta15,11号线,Dist8,8
Sta162,11号线,Dist5,Sta131,3号线,Dist5,8
Sta29,3号线,Dist8,Sta162,11号线,Dist5,8
Sta87,10号线,Dist8,Sta33,3号线,Dist5,8
Sta135,10号线,Dist5,Sta141,3号线,Dist5,8
Sta100,3号线,Dist5,Sta84,4号线,Dist5,8
Sta89,1号线,Dist3,Sta31,12号线,Dist8,9
Sta118,11号线,Dist5,Sta17,12号线,Dist8,9
Sta162,11号线,Dist5,Sta157,10号线,Dist8,9
Sta20,11号线,Dist5,Sta54,5号线,Dist5,9
Sta42,3号线,Dist5,Sta87,10号线,Dist8,9
Sta73,12号线,Dist2,Sta127,2号线,Dist2,9
Sta15,11号线,Dist8,Sta84,4号线,Dist5,9
Sta118,11号线,Dist5,Sta26,12号线,Dist5,9
Sta16,5号线,Dist5,Sta56,11号线,Dist5,9
Sta63,11号线,Dist1,Sta92,12号线,Dist6,9
Sta69,5号线,Dist5,Sta17,12号线,Dist8,9
Sta54,5号线,Dist5,Sta17,12号线,Dist8,9
Sta59,4号线,Dist8,Sta135,10号线,Dist5,9
Sta15,11号线,Dist8,Sta168,10号线,Dist5,9
Sta134,10号线,Dist5,Sta90,12号线,Dist5,9
Sta90,12号线,Dist5,Sta135,10号线,Dist5,9
Sta15,11号线,Dist8,Sta135,10号线,Dist5,9
Sta144,3号线,Dist6,Sta1,1号线,Dist1,9
Sta18,2号线,Dist1,Sta108,1号线,Dist1,9
Sta100,3号线,Dist5,Sta134,10号线,Dist5,9
Sta167,3号线,Dist5,Sta95,12号线,Dist5,9
Sta1,1号线,Dist1,Sta29,3号线,Dist8,9
Sta19,4号线,Dist8,Sta134,10号线,Dist5,9
Sta123,2号线,Dist2,Sta108,1号线,Dist1,9
Sta135,10号线,Dist5,Sta40,3号线,Dist5,9
Sta3,11号线,Dist6,Sta72,12号线,Dist6,9
