arrival,departure,time
Sta18,Sta9,1020
Sta74,Sta133,3660
Sta69,Sta96,1020
Sta110,Sta123,1680
Sta36,Sta28,1020
Sta87,Sta67,3780
Sta162,Sta20,1020
Sta126,Sta27,1620
Sta5,Sta1,1140
Sta132,Sta55,1500
Sta89,Sta136,1020
Sta64,Sta108,1020
Sta61,Sta143,1020
Sta163,Sta18,1020
Sta108,Sta129,1020
Sta82,Sta63,1800
Sta115,Sta162,1020
Sta31,Sta126,1200
Sta22,Sta138,1200
Sta90,Sta31,1020
Sta82,Sta123,3360
Sta160,Sta94,1020
Sta133,Sta67,1020
Sta95,Sta63,1020
Sta65,Sta154,1800
Sta48,Sta9,1740
Sta61,Sta41,1500
Sta134,Sta63,1260
Sta22,Sta54,2280
Sta107,Sta65,1800
Sta125,Sta41,5040
Sta122,Sta126,1800
Sta126,Sta107,1200
Sta63,Sta124,3720
Sta15,Sta104,4440
Sta72,Sta1,1320
Sta141,Sta89,2100
Sta83,Sta77,1800
Sta44,Sta158,1140
Sta110,Sta89,1020
Sta127,Sta63,1380
Sta104,Sta65,1020
Sta49,Sta5,15600
Sta75,Sta54,2460
Sta122,Sta70,1020
Sta81,Sta126,1380
Sta80,Sta150,1020
Sta162,Sta47,1500
Sta129,Sta146,1020
Sta54,Sta4,2220
Sta114,Sta4,1080
Sta56,Sta36,1800
Sta104,Sta149,1020
Sta63,Sta65,10740
Sta134,Sta126,1200
Sta115,Sta56,1020
Sta74,Sta40,3240
Sta87,Sta160,1020
Sta103,Sta87,1020
Sta15,Sta23,1020
Sta63,Sta74,1800
Sta162,Sta168,1020
Sta21,Sta5,1320
Sta148,Sta73,180
Sta138,Sta52,3120
Sta57,Sta127,1200
Sta127,Sta55,2520
Sta20,Sta40,1020
Sta47,Sta134,1800
Sta78,Sta79,1020
Sta40,Sta108,1380
Sta61,Sta67,1800
Sta153,Sta157,3600
Sta125,Sta15,3540
Sta79,Sta129,1020
Sta126,Sta30,1020
Sta131,Sta2,1320
Sta67,Sta126,1020
Sta162,Sta126,1020
Sta127,Sta30,1020
Sta112,Sta115,1800
Sta160,Sta134,1800
Sta89,Sta16,1260
Sta100,Sta67,1560
Sta118,Sta126,1020
Sta8,Sta29,3720
Sta134,Sta70,1680
Sta93,Sta50,2700
Sta108,Sta126,1020
Sta110,Sta63,1800
Sta63,Sta129,1020
Sta76,Sta67,1800
Sta94,Sta7,1020
Sta156,Sta108,3060
Sta84,Sta134,1020
Sta129,Sta5,1020
Sta136,Sta101,1020
Sta67,Sta138,1020
Sta82,Sta151,4080
Sta120,Sta118,1800
Sta56,Sta20,1020
Sta125,Sta109,1020
Sta27,Sta141,1800
Sta49,Sta63,1800
Sta129,Sta110,1800
Sta153,Sta126,1800
Sta131,Sta126,1020
Sta89,Sta104,13320
Sta7,Sta121,2160
Sta40,Sta50,2880
