arrival,Stain,departure,Staout,time
Sta30,,Sta67,,2
Sta89,,Sta64,,2
Sta126,,Sta29,,2
Sta5,,Sta1,,3
Sta115,,Sta162,,3
Sta22,,Sta138,,3
Sta44,,Sta158,,3
Sta148,,Sta73,,3
Sta63,,Sta129,,3
Sta154,,Sta107,,3
Sta114,,Sta168,,3
Sta42,,Sta35,,3
Sta87,,Sta88,,3
Sta123,,Sta127,,3
Sta80,,Sta89,,3
Sta159,,Sta47,,3
Sta126,,Sta115,,3
Sta65,,Sta49,,3
Sta63,,Sta3,,3
Sta135,,Sta100,,3
Sta125,,Sta121,,3
Sta81,,Sta127,,3
Sta20,,Sta23,,3
Sta143,,Sta155,,3
Sta28,,Sta124,,3
Sta47,,Sta123,,3
Sta115,,Sta40,,3
Sta83,,Sta107,,3
Sta40,,Sta131,,3
Sta129,,Sta9,,3
Sta89,,Sta137,,3
Sta29,,Sta98,,3
Sta100,,Sta39,,3
Sta31,,Sta17,,3
Sta22,,Sta133,,3
Sta108,,Sta83,,3
Sta113,,Sta141,,3
Sta37,,Sta16,,3
Sta50,,Sta61,,3
Sta27,,Sta81,,3
Sta114,,Sta162,,3
Sta108,,Sta47,,3
Sta130,,Sta120,,3
Sta135,,Sta167,,3
Sta60,,Sta148,,3
Sta1,,Sta129,,3
Sta23,,Sta56,,3
Sta46,,Sta63,,3
Sta39,,Sta131,,3
Sta163,,Sta9,,3
Sta70,,Sta55,,3
Sta80,,Sta97,,3
Sta117,,Sta44,,3
Sta34,,Sta106,,3
Sta78,,Sta53,,3
Sta90,,Sta26,,3
Sta144,,Sta67,,3
Sta99,,Sta166,,3
Sta68,,Sta52,,3
Sta98,,Sta79,,3
Sta18,,Sta79,,3
Sta146,,Sta130,,3
Sta27,,Sta48,,3
Sta64,,Sta150,,3
Sta114,,Sta15,,3
Sta86,,Sta46,,3
Sta52,,Sta76,,3
Sta53,,Sta163,,3
Sta89,,Sta136,,4
Sta160,,Sta94,,4
Sta99,,Sta124,,4
Sta101,,Sta89,,4
Sta84,,Sta90,,4
Sta20,,Sta55,,4
Sta138,,Sta41,,4
Sta132,,Sta37,,4
Sta16,,Sta69,,4
Sta158,,Sta142,,4
Sta61,,Sta156,,4
Sta53,,Sta9,,4
Sta135,,Sta134,,4
Sta106,,Sta110,,4
Sta97,,Sta110,,4
Sta100,,Sta131,,4
Sta49,,Sta149,,4
Sta134,,Sta85,,4
Sta30,,Sta41,,4
Sta108,,Sta107,,4
Sta13,,Sta70,,4
Sta5,,Sta159,,4
Sta121,,Sta11,,4
Sta118,,Sta115,,4
Sta111,,Sta140,,4
Sta87,,Sta109,,4
Sta146,,Sta25,,4
Sta94,,Sta87,,4
Sta15,,Sta86,,4
Sta96,,Sta132,,4
Sta56,,Sta118,,4
Sta93,,Sta72,,4
Sta35,,Sta109,,4
Sta47,,Sta18,,4
Sta141,,Sta142,,4
Sta137,,Sta101,,4
Sta5,,Sta98,,4
Sta167,,Sta100,,4
Sta113,,Sta167,,4
Sta74,,Sta128,,4
Sta122,,Sta77,,4
Sta54,,Sta56,,4
Sta14,,Sta73,,4
Sta127,,Sta60,,4
Sta151,,Sta48,,4
Sta15,,Sta95,,4
Sta153,,Sta112,,4
Sta33,,Sta112,,4
Sta149,,Sta74,,4
Sta76,,Sta57,,4
Sta161,,Sta21,,4
Sta7,,Sta160,,4
Sta143,,Sta156,,4
Sta161,,Sta12,,4
Sta41,,Sta32,,4
Sta119,,Sta50,,4
Sta91,,Sta32,,4
Sta117,,Sta147,,4
Sta111,,Sta82,,4
Sta10,,Sta96,,4
Sta66,,Sta12,,4
Sta51,,Sta155,,4
Sta150,,Sta154,,4
Sta21,,Sta133,,4
Sta87,,Sta160,,5
Sta78,,Sta79,,5
Sta84,,Sta134,,5
Sta129,,Sta5,,5
Sta56,,Sta20,,5
Sta144,,Sta30,,5
