month,day,sta,flow
12,25,Sta155,1
12,26,Sta115,3
12,26,Sta126,1
12,26,Sta129,4
12,26,Sta135,2
12,26,Sta136,2
12,26,Sta141,4
12,26,Sta142,1
12,26,Sta150,1
12,26,Sta154,2
12,26,Sta155,1
12,26,Sta163,1
12,26,Sta20,2
12,26,Sta23,5
12,26,Sta32,1
12,26,Sta34,1
12,26,Sta40,1
12,26,Sta47,3
12,26,Sta49,1
12,26,Sta50,1
12,26,Sta56,1
12,26,Sta59,2
12,26,Sta63,3
12,26,Sta67,1
12,26,Sta71,1
12,26,Sta72,2
12,26,Sta76,1
12,26,Sta78,1
12,26,Sta80,3
12,26,Sta83,1
12,26,Sta85,1
12,26,Sta89,7
12,26,Sta9,7
12,26,Sta90,1
12,26,Sta95,2
12,26,Sta96,1
12,26,Sta99,1
12,27,Sta1,1
12,27,Sta101,1
12,27,Sta102,1
12,27,Sta106,1
12,27,Sta107,4
12,27,Sta11,1
12,27,Sta110,1
12,27,Sta112,2
12,27,Sta114,3
12,27,Sta115,6
12,27,Sta121,2
12,27,Sta122,2
12,27,Sta123,4
12,27,Sta125,2
12,27,Sta126,5
12,27,Sta127,1
12,27,Sta128,1
12,27,Sta129,8
12,27,Sta134,1
12,27,Sta135,3
12,27,Sta136,2
12,27,Sta140,2
12,27,Sta141,5
12,27,Sta142,1
12,27,Sta146,3
12,27,Sta153,5
12,27,Sta154,4
12,27,Sta158,1
12,27,Sta159,1
12,27,Sta160,1
12,27,Sta161,1
12,27,Sta162,2
12,27,Sta163,3
12,27,Sta165,2
12,27,Sta166,2
12,27,Sta17,1
12,27,Sta18,2
12,27,Sta19,3
12,27,Sta2,1
12,27,Sta20,1
12,27,Sta22,1
12,27,Sta23,5
12,27,Sta26,2
12,27,Sta27,1
12,27,Sta28,6
12,27,Sta30,2
12,27,Sta31,2
12,27,Sta32,1
12,27,Sta33,2
12,27,Sta34,1
12,27,Sta36,2
12,27,Sta38,2
12,27,Sta4,1
12,27,Sta40,3
12,27,Sta41,2
12,27,Sta47,4
12,27,Sta49,2
12,27,Sta50,1
12,27,Sta53,3
12,27,Sta54,3
12,27,Sta55,1
12,27,Sta58,2
12,27,Sta59,3
12,27,Sta6,1
12,27,Sta61,2
12,27,Sta62,2
12,27,Sta64,1
12,27,Sta65,2
12,27,Sta67,1
12,27,Sta7,1
12,27,Sta71,3
12,27,Sta72,2
12,27,Sta74,1
12,27,Sta75,2
12,27,Sta76,1
12,27,Sta77,2
12,27,Sta78,2
12,27,Sta79,4
12,27,Sta8,1
12,27,Sta80,2
12,27,Sta81,8
12,27,Sta86,1
12,27,Sta89,3
12,27,Sta9,8
12,27,Sta92,1
12,27,Sta93,2
12,27,Sta94,1
12,27,Sta95,1
12,27,Sta97,4
12,27,Sta98,4
12,27,Sta99,4
12,28,Sta1,3
12,28,Sta100,3
12,28,Sta103,3
12,28,Sta106,2
12,28,Sta107,9
12,28,Sta108,7
12,28,Sta110,16
12,28,Sta112,2
12,28,Sta113,1
12,28,Sta114,1
12,28,Sta115,8
12,28,Sta118,3
12,28,Sta119,1
12,28,Sta12,4
12,28,Sta120,3
12,28,Sta121,2
12,28,Sta124,3
12,28,Sta126,14
12,28,Sta127,3
12,28,Sta128,3
12,28,Sta129,6
12,28,Sta130,1
12,28,Sta131,1
12,28,Sta132,1
12,28,Sta133,5
12,28,Sta134,18
12,28,Sta135,4
12,28,Sta136,1
12,28,Sta137,7
12,28,Sta140,1
12,28,Sta141,2
12,28,Sta142,3
12,28,Sta144,1
12,28,Sta146,1
12,28,Sta149,2
12,28,Sta15,3
12,28,Sta150,1
12,28,Sta151,1
12,28,Sta153,1
12,28,Sta154,1
12,28,Sta155,1
12,28,Sta156,1
12,28,Sta157,2
12,28,Sta158,1
12,28,Sta159,3
12,28,Sta163,2
12,28,Sta165,3
12,28,Sta166,1
12,28,Sta167,2
12,28,Sta168,5
12,28,Sta17,3
12,28,Sta18,1
12,28,Sta2,3
12,28,Sta20,4
12,28,Sta21,1
12,28,Sta22,2
12,28,Sta23,2
12,28,Sta25,1
12,28,Sta28,4
12,28,Sta3,3
12,28,Sta30,4
12,28,Sta31,1
12,28,Sta32,1
12,28,Sta34,8
12,28,Sta37,1
12,28,Sta38,2
12,28,Sta39,1
12,28,Sta40,1
12,28,Sta41,1
12,28,Sta42,2
12,28,Sta43,3
12,28,Sta46,1
12,28,Sta47,5
12,28,Sta48,1
12,28,Sta49,9
12,28,Sta5,10
12,28,Sta50,2
12,28,Sta54,2
12,28,Sta56,4
12,28,Sta58,1
12,28,Sta59,1
12,28,Sta61,1
12,28,Sta62,1
12,28,Sta63,12
12,28,Sta64,4
12,28,Sta65,1
